Company,Ticker
Nvidia,NVDA
Walt Disney,DIS
Oracle,ORCL
Coca-Cola,KO
Intel,INTC
Mastercard,MA
Visa,V
Home Depot,HD
JPMorgan Chase,JPM
Procter & Gamble,PG
Berkshire Hathaway,BRK.B
Johnson & Johnson,JNJ
Tesla,TSLA
Alphabet,GOOGL
Amazon.com,AMZN
Microsoft,MSFT
Apple,AAPL
Airbnb,ABNB
,BIDU
,CTO
,SLF
,UBS
,VOD
,WCC
,WNEB
,WNS
,ZG
Zynga,ZNGA
Textron,TXT
,OIIM
,LFMD
,NVMI
,INTT
,MIXT
,GNSS
,LPL
,SOTK
,CMPR
,UIS
,NSIT
,IH
,WATT
,SCSC
,RDW
,RERE
,KARO
,GHRS
,ONDS
,MSTR
,PWFL
,DXPE
,IDCC
,MAPS
,GOOG
,PRGS
,BNGO
,MPB
,CNXC
,TNGX
,EBF
,KFY
,ZEPP
,LQDT
,CLVT
,EGY
,XPOF
,SONY
,CMRE
,AVDL
,LOVE
,HDB
,SGC
,TH
,KDNY
,HEAR
,UFPT
,BBCP
,EBIX
,HOLI
,IMTX
,CLSK
,JOUT
,HCCI
,MRAM
,CCRD
,BLFY
,TESS
,KRT
,WTI
,DYN
,EVC
,IBN
,LFG
,IEA
,BOOM
,IRMD
,BFST
,TKNO
,IPSC
,RLMD
,FNCH
,RANI
,ACET
,SRDX
,III
,IEP
,JBL
,PRTC
,VBIV
,AVTE
,VRTV
,NVGS
,SPNE
,MASS
,VRNA
,RRBI
,MRNS
,IMGO
,CVEO
,MGRC
,ACIU
,QFIN
,CBZ
,HNI
,CHE
,THR
,ESE
,KE
